Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
Kasalefkut-hulu - Stereo Master,2:44,Mulatu Of Ethiopia,Mulatu Astatke,7HGFXtBhRq3g1Ma3nH4Rgv,2FBK03r5TaxQmWMqLuOdF7,"afrobeat, afropop, ethio-jazz, world",2017-05-19
Yearning to this music,2:31,Apollo,Ronald Langestraat,5QRwZZSW7an5dMJFKQgnge,0A9YxBODS5rAv5UEhl8tvp,soul jazz,2020-01-13
Dinner Time,3:47,Daylight Savings,Surprise Chef,2Ks1Z1scmEDZfaYaCS7Osj,68wbFY3ROdJl5DAQbzNTtA,,2020-10-16
People Of Yoruba,2:86,Jah Shaka Meets Mad Professor at Ariwa Sounds,Jah Shaka & Mad Professor,7uyJYWtpq9vKSgCz35dfEJ,4jIChdFhiHXOtCP8tOxD8a,"dub, uk dub",1984
Heavy Duty,2:96,Aquarius Dub,Herman Chin Loy,3rfXnx85vPWSPVTJrmN14d,5XaxUNjTEJ9H2pCLSddKSP,,2020-07-17
Chinese Beauty,3:46,Pirates Choice Vol. 2,Lennie Hibbert,5t4dVHPMK33Uj2B89FSnW2,00V8uUlMYkjUtS2FmbrQeq,,2020-11-13
Yam Yam,3:6,Yam Yam,No Vacation,32zeX1IoVKAGWMyy1isKUq,127WZmGnH2ui60lIJVSEZi,"chill dream pop, indie garage rock, indie pop, indie surf",2017-05-12
Telephones,3:54,Changes,Vacations,0U7iI0Dk4Ojvi17nZboNO4,3Ull45eHLzGXtElhKHFJ7C,"newcastle nsw indie, pov: indie",2018
Warned You,2:27,Shawcross,Good Morning,2kMzxA8edU05hvMFU493zJ,3KpFXHl7zzp0Cjvww3AUFs,"experimental pop, indie garage rock, lo-fi indie",2014-11-14
Vicious Circle,3:66,Vicious Circle,Calalloo,5EwrOOA9r8NX48L2wLOj9P,1fNpUJdes5gOXbCqM3DMrc,,2024-02-01
Les Dunes,2:91,Les Dunes,The Offline,6hk187bUA8NzTX9NFGppv9,24D5oHXkODs4DYlVXRHMXO,,2024-07-02
Serena - Tentendo Remix,3:36,Lotus Glow (Deluxe),"Adi Oasis, Tentendo",5RRfTrwXUGYiBB0DMV4hyh,6kuBg5Z0JeUfsG9Qo8Q8le,"indie r&b, indie soul",2024-05-10
Don't Let Go,1:76,Don't Let Go,Juice Cuice,1BG2U6EZDxceS3y237qK5R,4ysD7NtFZqPuy5kSKXrr1i,,2024-03-21
Twenty Fifteen,3:17,Legacy,Emile Londonien,5xl5tvMxqmHqRbSUHajNS7,1dBh8K3zOKvn5OxQR1sRZi,,2023-02-10
Good Morning Pt. II,3:02,I Love You,David Numwami,2uKChU7eHSda8R79iR9rel,7jUUZkuKbh6dNGDJRbybdg,,2024-03-15
JUMZZZ,1:69,Sd-2,Loukeman,10JL2s5aUztzFyURrFrxtL,0UCKDXpYHTZoZpwzrm1KRp,glitch pop,2024-01-11
Daddy's Gonna Tell You No Lie,5:59,Outer Spaceways Incorporated - Kronos Quartet & Friends Meet Sun Ra,"Red Hot Org, Laraaji, Kronos Quartet, Sun Ra",7ydpneBAwLegNysaViOxHA,6R5LUMUWQfeWcRGewFAxBA,,2024-06-21
Marieanne,2:32,Marieanne,Common Saints,5UA8O7xDhZ74ebRYT0XOxB,55JXQJAnZn7LAiFz06nkv7,,2023-09-13
Feel This Way,3:67,3 3 3,Telula,1EoYANOJzjAhHD0ChMfn0G,3vgkJKN0xtwsMEHnhWkzyF,,2022-07-13
Lagoas de Ruanda,4:96,Samba em Kigali,Tapioca,1DP9pSzo1vWXDJdXELfOEr,6AtxVhkA8ZYP2wSlNxGPmf,,2023-05-19
Part IV,6:33,"IAAI, Vol. 1",I Am An Instrument,1V1TVU82iVw065XEKFS6z4,7Gm73BVIjWgbBT21AoR57e,danish modern jazz,2019-07-12
Jani Bangs!,2:11,Godtet,GODTET,09OgHVPSgCgflZLrGScfE9,09VZWAXmXb3QmghmslhLBR,,2017-10-27
Flower Rain,3:62,Flower Rain,Gianni Brezzo,3JJR0ExBP5G8uyhcViM14W,6mus9zPqq7tWOFxB5RLwkV,jazztronica,2021-01-22
No Proof,3:8,Days Are Just Like People,The Kimba Unit,73I1I31qLoHIh2EO65gb7X,73V7PsXQHCDXMQ8gCSxtHv,,2024-05-14
Beautiful Pieces,2:6,Days Are Just Like People,The Kimba Unit,73I1I31qLoHIh2EO65gb7X,73V7PsXQHCDXMQ8gCSxtHv,,2024-05-14
The Gaffer,3:1,They Live,Pleasurewood,5haexMFUKK2AeHPjmo6SgN,0wZqukdXZIzrgjdn71wHD9,,2023-11-24
Little Bird,3:5,Ben Floro Carney,Ben Floro Carney,7yihsjjTpahuCyd1106LN4,6nguV6YdEygdY8HkMZNttF,,2020-06-09
Timekeepers,2:89,Timekeepers,Matt Wilde,3zcRSyyzkg8qI2WPvXLaek,0RLhXDmFXUorOU8xGDZJHP,,2024-08-02
Heart Whispering,3:38,Collodion,Anthony Wilson,1zpjijZvliAWsGHVtDYRGh,24yyepLbbKYT7r31WaVWmw,jazz guitar,2023-08-11
Like Coconut Water,3:2,Harvest,BALTHVS,2CtiNJi0zB35RHYXViVjKG,7hIjNhXoPqyARBpaKpS3nk,,2024-07-19
Frigate Bay,3:62,"Coyote, You're My Star",Dana and Alden,6xKRT9Uw0XOxNsmWX2vNBr,536j1Qo7FeFLsSxh20AB4D,,2024-06-21
Salt,1:97,Salt,Dianna Lopez,5C7POGyWtwj98P9yaabh4T,18aOocvIIFkOFAwXKr4SCd,experimental r&b,2021-10-29
Stornoway,4:18,Stornoway,Skinshape,1itM5tXaK5THggpXA7ovAe,24rGvKbPywuiWbYrr0p1wD,psychedelic soul,2024-06-28
Annie,1:98,Absolutely,Dijon,0knGpCTbmG4ctl1wzYRZs4,4E691gbRgo2Zb6ToII2DWO,bedroom soul,2021-11-05
Klunker des Klangs,1:87,Kabinett der Phantasie,Keshavara,0jydXaYhlJIF2kLYHPofSI,3IxDuPuBkSphs3whw8kdP7,cologne indie,2021-10-01
Through The Night (feat. Free Nationals) - Instrumental,4:29,Through The Night (The After Hours Pack),"Maeta, Free Nationals",2EwyKG76iX4Pp5HhAD6SKO,0d6AejSsxmjgIr5evAGTP4,"alternative r&b, indie r&b",2024-03-22
I Tcho Tchass,3:85,Togo Soul 70,Akofa Akoussah,0axQ0JWN8kTrnfIPpphHBG,5geXl28rgMnrOjqvEgBBdi,,2016-11-18
Leonid,5:58,Enter,Durante,1BqIPGrEhdjdLFpUzce2dh,519cygxrNzWY4C3hyTdMHk,melodic house,2024-04-05
Lucy,3:77,Lucy,Yenkee,505IK3HblsNtDKDac0Dedd,3akQxwoKUHsscIPDkZOLZz,"cork indie, irish pop",2020-02-07
Over When The Night Is Gone,2:95,Over When The Night Is Gone,BowAsWell,6apmV6knOKD1iACyE9wRLe,1EGoDiHif7aYqRDXdiajx9,chinese indie pop,2024-05-02
Find My Way,3:72,Morning Light (Deluxe Version),"Tentendo, Annalisa Fernandez",3eUpxakSdjFZ5ROQKgfL2W,6w6zFr3hWjlBD5YzNLE0rN,australian r&b,2024-02-02
FUGAZI,3:1,FUGAZI,Boyboy,3atKvJHxeZCllkWawVbmXc,782lLDVj2EifDWu5JAgGgh,perth hip hop,2023-07-09
Brother,3:53,Brother,Oliver Henry,5rrIGWOBnDYdcRz9FqdvfD,4WeUBCEVnIygyCflEsPxVt,,2024-05-16
Mercury,2:99,Enter,Durante,1BqIPGrEhdjdLFpUzce2dh,519cygxrNzWY4C3hyTdMHk,melodic house,2024-04-05
F***,2:02,Me and You and Everyone We Know (Original Motion Picture Soundtrack),Michael Andrews,0RkqytrwoGyXGvDiZwT6i2,63a7DkgITzeHlXX0jQZ6pC,soundtrack,2005-07-12
Homage To A Friendship,5:36,Enter The Zenmenn,"The Zenmenn, John Moods",07wydlLRa4ovoB9JT1fmSh,2jrva1iF8iLb0Ws3Ik9dz5,,2021-04-12
The Sea,4:77,Earthling On The Road To Self Love,Baby Cool,6tChZB9BU0fHdHrrwU5vgb,1Fp6yQxZAj7vymnIRc01Dx,,2023-02-10
